대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
중원대학교,충북,정시,가군,중 과,5,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,인문 자율전공학부,11,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,402,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,78,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,36,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,4,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,3,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,37,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부,60,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,수시모집 전형별 세부,20,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,수시모집 전형별 세부,126,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,문화체육관광부,30,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,산업학과,10,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,레저학부,32,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,과학과,29,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,과학과,8,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,스포츠지도학과,17,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,32,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,12,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,4,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,정시모집 전형별 세부,11,30%,30%,,,,국어:30% | 수학:30%,
중원대학교,충북,정시,가군,학생부교과,2,30%,30%,,,,국어:30% | 수학:30%,
